PUBLIC_ID	chromothripsis
d3a84ca9f3cbd10eca7543cab3bc440adc8bd9e96cd9bb464f118e961eab6e19	lowconf
281fc6fbd869978d62e96202d2758993229114145e16f2d0d56fdd6ab3b91df9	negative
454f1737faa6b54c363e9d706d29e9456b0afd216adb9e50d9bb414c8bf307e8	negative
92edc1ad3e041d15c128219b41379d418fc027fc95c32cebb9cb466ee521f998	negative
05bfb03e3ddf8fe35b855364b834b3a67028196e0562386eda12de77ab417934	lowconf
ed22c046acda1d368712d88176258b3575b073288af7bba03dbc382f26faccd1	negative
e8b8f14697a6c8eb512141b67f35b8734ac2a06a6455f3c819bc11c089757f50	highconf
2c66b02c123312b2fd932151755a77931bed81938a46cff52a96f26b590e643b	negative
c165b47e458aa180efcc9b249d29aadb176e1e594c00a51aa6b6b4c9a188a278	negative
f2bdcdb55ef3a7a89ed3c2b0a340719c458df9e00b496f5b420d854c177e196a	negative
4e5a62660aeb1f2973090c57389e0d40bb9eead794c63f68ec7be8e1b9e45553	lowconf
5ff06ad976a228c869e9fba996c1667ffb4b1d3e0acfd84cfa235ab23316965b	negative
77e179e83dd6592a5e325f0414f118ff8f50b7cab2774d8e1c3fc8417b398efe	negative
caba99a4ff3705b76ad1ff0b6240dcad764e64b963839300985bb248cac89171	highconf
8865d577d3bdca48f56d812e2defd4edf19f3c65339f40d1ecd81fd6d3e801e4	negative
9f6b16b1ecd55a2b2be6dc9c034f84e2ddf4e898d1686919d8d4bc1a666ec13f	negative
843dce160d553a05223189450ae09645849284b5b0dd2540c6911ef1558efc92	negative
59bcf023dad638bbe86364500d1d5eeeca5901391e3b544d027c7f849f1518a1	negative
3a7c79288fa48ac81f88c631597eed5decbf868bc3987976e154b405829e6ac0	negative
9b229d918f5ce5cfa8eb324da942aeb1cc30235ff0075244b5d9667faa0ff040	negative
b9ec4b9238984a32e2672a0c6933da720e9ecff73a12a726071017a876b9a515	negative
e30e34c2de4832f4800157342eeed52b10bcc7dedbf075ace3ef66d11bfc5312	negative
bb8ab98ddbc588bc58b432874a9659f63bc5f2145d3b1b8da6554531344d25c6	negative
ab3c042d8c8cea2142107d27ab41c641dbe0740f85ef9cae13e41cbb808482bd	negative
03f6d24c49e079bc4c51927c02d2ac8aca698663fcffa02e519151ac1f9c2a10	negative
6ccbe66bace47e721b8556e8698cda4c7ccd38323027504612fcd668b067204d	negative
e6b3748e661d0b23451fcc9e25e3a8fc1f9e24fc1b978a9bd06abae1701ea6f7	negative
a681c7e3c361fa4826e69340f9860a9918451b9ab4553ae85e34d1b2beafc20d	highconf
2c8ae4fbc3daad0fb02936abdc491b3d80b8fe37e6de8e1d1ad5ea7a5a82e5cf	negative
e68bb5527f94d89ea43c94da10a574a7d3e1415a85c5b949b83ea98580d184f7	negative
4b4e4a88769c52bd5ef68a22b9d0a47523e8bab1d5e1b5dbbe9bc21825507eab	negative
735371dc79694929b16f76b28365b26a3dbfbe6fb0bf3a924f0e328dd454e632	negative
494185f71b1e2f0ed60861a9c109e3a830a9e418f102c3b5f6f0e12f7dd1d38c	negative
62217649ab5c9f6c179f2c3a7180db643fdbf08fe0d5d799707be91e7bd3cef4	lowconf
f71fec9da53648370b0f667d35e63957c647d373a482d290c310a7d40d58e938	lowconf
104e411d94a9603bef297a883fdf64bf5db806848afbfa5f0af2790b524ee539	negative
83893c2d5518c739aa62ed550d6a215dcd57b531dc6c57e0e6a3b50fc806900b	negative
394ce4201a93742d5755fb940b950e248831ecd44edb2ddd764bbef51184bc01	lowconf
1e09fa3aa13a4539f6f2f26b3c0b2c5e6625ed17f855552027753500656cd21f	negative
6ed21c40a75864607119fe1bc32af1a11b1659af404c2e641770be88a7554ce8	negative
ec928b0d258836d331e78ab295ecde64d11ed7f80e68fd1cda6108a534cb2a3c	lowconf
3ef414057a837e290649327cb4d8e0fe7fc939f546100301129344b02ce6f432	highconf
36743c9dde83b2aedd24e41d064acd7d0a8743dd7130d5dd7a126da625909991	negative
e6740f2165a881944cc24c4031ac0deabdb489cf0b36e71f5f6417826ac8613e	negative
dd4baf119a09380fe76897e155236bb6813aa1c7b1d17dc09a145965b59ae113	negative
7eb12b9c335ccd15fc1edb110bac22bb6acdb1e5336fdccf9b7f40a73682c188	negative
014b8c22fdcce0d7c42c50ff67918dbfdfe725199c433e0af353f82db0092879	negative
283c52b165f88112be611702ba087081ebdb3e34b7a2e5d9c640f5e26568755c	negative
3d5b024ce58f27326af58ffbda60e4041624172d1c2c0ef7d1f896372b7a0818	negative
12ef0a0117b86a2f502e875295bb886751455a8283e29c4eb883b925324fc459	lowconf
68d1a3854e6baec84336bb0de8e7d4f155229952c9740b9d92e35685e546a160	negative
7fded17e02d65df03d2665957ad1a872c63cabed8858e50ea25696a8471c6bf2	negative
a8521ec5a4e3e43efe150d1bc7e7670977c5d8730d1a5ea366d0d0bd28620ed9	negative
57380cf677dcc353007f9f84bf8e8d95b9c552bf409293ebbc12f22d598de358	highconf
1a79dfc645c27b96371c235abb186b11bb3e9c8328bd747764c8c066a90997a5	negative
48bfd08e5bf6ea02109d7fe886405d3bc65b71b7db4c4bd82fc7d00b2fa8ce97	negative
f7955aeaa287327c84ae398ad057ba00265a157a5270dfd4926ccc25b6479071	negative
a4203f15cf3d790a662f21a31b6a90556102d32f1e0a54b48a461eb4e97adafe	negative
41867da33ec73c4cc5c0cb5e0f4a0deb2d42a1ab2ee6ce2d0a453b4a7805f468	negative
bdb727d51db34cf84ca3491cc6741f54d1ea5883682ce7f29711579934fec90b	highconf
363af445a9acdc27a075eec3b5f50f698c72e73177a8144fc28e536071556d4a	negative
2793bc621a8ab2703a8238cc5d66d0b3e0cf20c39321dd3b3823b72d1d209ccc	highconf
0a3471221501dbe44ffa132b8838f449714a23c3aa31bea3bd75eaae70dd4336	negative
8553c3674f5faeec787f4d01601a544d843da6ab57ca31c5a276b9984e80df87	lowconf
c4cc59012cefd9b28085ea042dd3e2020283069af6b94f5d55ac4e1de27e1290	negative
943d3891ab2470dc731cdec65e2b252a0a1fc78175e1665feb224be3f6b2f45d	highconf
a05cb4530932b5b0b061e5654a111a8717468cfd5836afc929bf4361a88469d5	highconf
45c95a73464b3cae56befe8f2896eac39271b14d934c4b36b253a9b4c278f802	highconf
bdf70dfe694ce5ce2ea28d76b097bf9072ddcd1759c7588273f885ce27d2c8a9	highconf
562faef73f68713abc5ab3b8b539817be659e926b048ebc8c66d135521e880a1	negative
f088c3e9226699062893ed1b3e316737c774eefae32bbfb74b7749d281f91eee	negative
27015a2196a0e4c8ecd1ff3173a1f2abf900ba8ba2abe66b981c1d73e59aa622	negative
ab668c0dc131530c6fde2a19575d5ed8dab2aedb5421ec844da119cf924d7efb	negative
6e1aac75901e50031ebdaa5430a7e040d2b10e39e3a97c930fda40fb5bccc62c	highconf
068bbbd4d96ecd2f1eccd614acd3a3f80962f763f7577ac64219f26aa2ab90db	negative
c11fe3659b02dff87c425a0f4b294c7f9a999692fddfd3978fd034ba63487f71	negative
44f7218e327e39241d7cdd9a0d4f6961d418b99f6b33e22184f35f2c8ba68f84	negative
3f546081f8a239bf181ff2de5195fc3a80e7a6f8654c167a8ec0e7a7b5de885b	lowconf
63560d2c55c173b8f4fb6b48fa8813018ad8fab9077730dff74731908fa586cf	highconf
0eb2d8a37e4b06831a6acbd91b86252e7b18e35a050b7a8a15c03d10abca596f	highconf
da0523bffa9493c3c77690118709c1093f4cc0c26b42ec9eff3c40f6baabad5e	negative
80d6fbda733c13160422a7d058db85120f9796d7bd9ac04acb1c51b379e4be44	highconf
aee69c9b52a8e6164889774457719a3bb0994ac69c297b87ca42b379db7742c0	negative
76e26203b4b6c70364fc92122ae6777264256c8d3b25de1dd798ab5b2e3762db	negative
d8249842a43c207f5f9350e64e493c2cac507bc4a18b535dfcea03b469e503a1	negative
53fbdf41fbadbb90d6748d302170c35908c689393216c17edc40599cf3b0c834	negative
7af8145491824d02b92c442863ec4296747d0faee133c8cc6f65adc104038d22	highconf
e1c1caac7fa896c5dcde1bbaeadd2ab5c4fe824c8ffe36428eb660ff0c78c69e	negative
d38c355f91cc540e949711462ec93460bda55b764b1d8385dac1875dfc5c2905	highconf
f3f5c186c968e4cbd87fdff9eaed41894c72a61f7aa21c8ca3d0be8749e00917	negative
903cfa313ec46cee88f5f9db8e5376958f6e173547c05836cb14c7f4c3dee06f	negative
4b3f56d070a66f695d905951d8e7206f463fe6ee7a9d6a3750ddd41741173d97	negative
975167ff333168128a989bb084f80b2494f62b313ae0d144ef84811e8c03e77d	negative
57dede2c71e894df164eb0ac1f5272f486979f026f6e9a82b62cec23a4e7eb48	negative
d2f71f5e8a2bbddab4913a3bfc61b9dc39015d099ff75419b014e52d2c590bbe	negative
55f65891995e5ea39036eb36d2f589d33060004da97b610aa26871a07b13549b	lowconf
f4f2c3c446c1358b42733b6c85a24c34c0a0e28e3b7aca2dfc6c8d057b01cc5f	negative
62b8b9cb00da75251d7a1f8e4739e3925d9a4eff84a56a21b9c25eeace771233	highconf
77093cf48a0004dc92309467d56662b1279f6b456d2fa1da80ed055f697f5b90	highconf
f3609a206796c387cabd1968dd110d05b6bea9797e8273bcedc98d056a375112	lowconf
97847d5d25e46485740025d0cac6742ae04fe9099dad1c5ccd2fb051ee197f08	negative
353a0857635dac51bc84e40dde9ee84b1827dd733e8ecce7748640b26d4da406	negative
03c58eef8e061b1be5ea728c9a4f2aff13468e578cf153eacc9354500bdd70f7	negative
b763aaf177bfde973f78a827278ab39163643b54ef8ce7f49c51f60eb187ebb5	negative
da48e224cae2c293a95ee885c52f5b15c70df834f53113f4c126c1d5b85c91db	negative
a5e6a5031559fd82b8d4e31a7036bde1dc4e8988962d54dfb2a4d7af8d414538	negative
09f7f7a42c2a0d6f5a82017916eb6c5e5b0c6a8603ec11b75efc1c5fc378724d	negative
d5cd18f97219319cd810697cc92b8985f7e059c77d1bcd45459787e61c464250	negative
35d833c4b7ee5a63165c6bc4474b569408f6d5ca1526cca0218e9db627f335bc	negative
fa99c4ca738d38e33b6f7d91abacf171541728ac0f61118c84f25e571d50e8f0	lowconf
e31781200b2ecfed0d16430847306894c4091b4176186b70e3aa805d644d52d4	negative
cd7a3411670f4c694b68083e09b10c9b01e0bbfb9a4e316e3fc649391aecc2af	negative
ea397e7d25a8719cf3ed6ccb5d36bdab4bbdc579ac9f2e0f5d8fdb8302bbf938	negative
7fc7bfd0dbca5b77256cc450e4bcb30539cb7a422f416799792a9e90a4dbaaa7	lowconf
c376b21b46c0baa20091f44163e6bd0ae6a3ec865d93bf59be95292f08aad3b4	negative
3e1021b17c8ac5302e9d4a74fff7fc1643f32093886584b221688a207d55124b	negative
e8237b7395f2c7b20ceb3a177bb3f0e0c7771a36c0d82767965874c8e9fcb001	negative
9515fccdc6b04690a899295e8be5d07a1181afcdc411cecc612977a95e1db004	negative
4e8c2991dd5ce2cd3a7ffa828faf69e9ca21d6881049164cca98c6dbf3e9fb44	negative
2860101f8e6a0e66ad82a60f0ba973dbb6176821be542cf128bc75ac7677e6b0	negative
3238ad2c516592cb168d952143df86a48b1f4025d2852d23431237440e4b063d	lowconf
d34dadae32fd858b26ee028148fea364ff52f99e798b0d59592afd29c0883905	negative
70ae4f39c672ef9713172d3d87d39e7aeef457f6b1c8c13dc20e6f8049c40ff1	lowconf
baa58f5eba60dd8ff584c81ccc9d1b85958c9fc524bc3b9111cba6434d3bee3e	negative
69da55ac8070957b0018ae3ea0e9e3a4b7e46b3294b39d69432ac99c218cc5be	lowconf
f5f335b83178c82bad1c406860a8dcbe3d616523ee31aa12c00962301dac8e49	lowconf
192d69ea2d0792f950b98869b6e4b905a85021bc192f4b57d1b6cb5f645a4abb	negative
24c47dad4dfd6dc54eb3053847dc7e4f24c64276aa799806a904ce615ba7f59a	highconf
4e47688cd25a2383e1e2954f3b45015ab2020813bc89dac86a3b57ca235aba81	negative
ec62c73ca5059b4827bee2c2287b455d1207d33712284a8fa53e9d309746c71d	lowconf
a8795894ef49e5f41fe07fb9d6073938aa4f543b56ce84adbe6540a0cdd816c9	negative
a7c18ad1d75392710545d33a481bf927265adbe8fa2010123610d839c5aac675	negative
3090d810cac642c7a05e68f964bef81ff9710386ddb2dbecd45899351170473a	negative
5c49ff4890c27a5a1114967adb43618f05daf3d10c4698058169ac112f75d318	negative
7f829dfc3085de2d67181e7b44474e4bd02ee8c002bb8bc6cb8dee6d30393da6	negative
10092d7a47d087374abec42e5bb3d9d2786b51adf29316496a7d9e737e116e9d	highconf
2a354a96eee179da633e149ac1af211beac2a7df2ec36951faf42c674bc8b18d	negative
f269c9277851b0ab0b99d0c1bf63c0e34a46b52fe23fe48880a49fdec094622c	negative
fdf193a51799a7dea966208c5e8fccb02ad07e49ff3da0334b53a87c652c3925	negative
60e9328786952f04a5466e9eda141a3bcd618cd7d74675d617f3b044cd71111e	negative
5b1a80c334c0382be8c576b8a93e3b935e7655ba2862afbccf079ef824fecf94	lowconf
1c5387ddf1071988e86cdb2cf4b7a0dec303db75fa448847855bf59d89299357	highconf
f8cdc8cc9edcc71c9e782d405627801dc20251027d3870a4f3e8b0bf43faa1bf	negative
89134830435192fa9ca0aab88a91eb9ae916da57c06e15f88a4c946e75e9770f	highconf
368728a0394ec9f0fb1f266569956cbb2b689457aed16289cbae75ec9d17d6ca	lowconf
6f66376c89c180056c64524f1a0a549e661ea23c9c3e7819424dbedeaba20aea	negative
1354461daed02959bdd70393998bdeeba8fb7aaab2359b6277371e400b28ed2b	negative
214e482d541d9dd99b4393a753eae5fe7c6fd1090d8a5f380fac800d37f82ccb	negative
06558dad03e8165c5e84782d64506e9f958fd69fb9af9e840e894ed7fbf521aa	negative
e51ff483234b230bf1194bb2f139112898c74698855b0b2517b57dd1564f9068	negative
5bdace928264a8e9f1823c0f00dab6a2c53068636796d7f41bbcebf758857b61	negative
96e5e782072e080ba366d8ebfbb79393719831303bb6af706666abc82e656880	negative
63523598aac6e0b4b14969105e409fe3fcb9b4aa415f08923288d78cdf884c9f	negative
f4f2a49642ff205b04e7d8b67c80c71c42bfd4b5f40a6c73e1e4f58dcd2a2919	negative
4186cc90cfffb8d60a7d56deff7f7860cb7cad7c6c5d94e7226972df9650ad0c	negative
1b80a133e2aac17b0e6705f1121f753aad34b040695e31d5af54352db0aa15e3	negative
1b2b9d1af36d080ea7cdfbc4075f27550f794ad2c81045ee38f72ca28a8f105b	highconf
22b0e439dd4d2ebb59816e13cd80561044fcc271acd6daef2b169f8de9096f96	negative
d3607fcc6b1254bb3e37ea09f3de1524ea8e3126b6697ee7c92c28491fc2b4ac	negative
a5450e8e45e4df72951492f62517c714975458377bd85d1869eb7b9f48f9f513	negative
970aa0be7e146e174044a45d838e26a1ed5dab47e4774dd58951256eaf8089bf	negative
c708abb83742becce487692558d82f794664a57003c32562f0af16039edf7e10	negative
76374d4263a7fb86ec1f66cd98df39ba16d0f5a30497f91d5d3df7d4e51b6b86	negative
558453fb1643cb811ec50c21cd8ed3004abe2a27a32156308b04f99ea9fa7dee	negative
dcf9747e0a56ba2a4b5637409ba93c7c26b8713a7e7cf484ccfdabc5760a425a	negative
b43a17723b3fb42891a9f8eed3d176eda19cae585d1f1b394a51e33e91d74134	negative
e1ed535d1183be9a6b2760b69923ada1afd1eed3a32ce8c4760502f6443367c7	negative
51f78df983bef10e61c7e5b82f09edb942a20d86d56cf5773ec588af6ad36a01	negative
0d29d736617f286cdedef63caa2feac1f41fe5c1e83981b1287d5f70e771ada9	negative
0ab1a306196fc7abeee9e8f4ff2e0200353a14f2dd24c2ab2bdfe6d712aa1cc2	highconf
14fd86937b4cae2b31163c5dda3538f404aed6ed8e406a5e4bde802df8de4f05	negative
c39c4372953d941eb44eda28dfe8806126f211c0e93dc06293e03efbc0d646d6	negative
67ec3c3740bae7ef4f2429bcaa924faf6f3dfbd409f5ef20608a343e8fafc9d6	negative
d514c868b1ec643965fd229aafff5325009dbab36e2d67b9a17af6292cd6fd0c	negative
c0b160a035287171f4f3e02bfc2a426e6caf2b08727c724afe2d2f88763d3441	negative
771afaef1225a86be6234b3ce3d3086dba830c599ff71d3238a9f7f5a7496160	lowconf
7c5a9d6ff05f25170356f6d34bee3385b6cb64d9d31ff4fbc15982d3c00c0fd0	negative
315210956074a3224ba9ea07df0ecb5d610b5e23d917058ed5c5170ac0432871	lowconf
51b0647ee4b595058e7a71e28efb628f1649d20cbf11f61fe4b9a66c06cfe68f	negative
091c710c106e5d89972d15ecc32b22ecae30b9df5805e5ee298bf5e00003afc4	negative
93127a6502037a423373da9abd2ce215f5222bd786bc89b2f872053b0926c927	negative
7459dc58410b5c1e6d51d147eb6725d818f82d49cb122cc0419be5140ff1bfe5	negative
fbff960577ff6b37f424b536c5c9de458c06dc6dca0393c7a22ecd33b72e55e7	highconf
dc8abb57b0556bbd3a874ba6da7253513d743af08f88b24d54582d6972c83b1a	lowconf
811a363780ad11202539691ea8035af710d822b5302633157dd1adb879135195	negative
be3e09777125f7c690b3230190c43bf4915089e76a3fc1959fae0ed196fcd73e	negative
4c55727640f9341951dfed72e5e8b4a80de0605434ca935923967cd834f21f44	highconf
fcc9d6897007cd4afcb7146d14c9e1c31a8cdf9dab68626407d8c89cc3b52772	negative
e8326f9722a400d2afc45fa6547815aebb355c04c4a2fb4ab7e91839d93a0f05	lowconf
4d83339079c8fa29d09bf5892d18ba9ace9563bd4c04c67fc3019c995758bdd1	negative
8196f556033081be07bd6a58fed825d89c4eb39f5583a0481e930ebe292b96df	negative
2b7b961a2fcd5122c2e13237d1e323500c030dde4dad373ec4d142d7284056e5	negative
1750c2b5ac39dbdf6bdb7a599aec11639692a818bbc1fed109286681a5d15394	negative
4c75a8502039f9c40f09e35f12c14fdaa24a569639955db43babb62f762da509	lowconf
3da0fd7d151d32c2a64db6ced7f14bf526b0e2a923432ffcd27c5b7ed2c2abb4	negative
f5963cc6690eab92803844abca6a6c946ea1a6588e18808f28a641532347af25	negative
f00bbd1596356ed4168c8e4f712c800fe722192a3ff30faaa8bd9a9d06ecf887	negative
fbeb2f349dd896ea8567e73f183027ee323e79460f59256b3453fa1b919cabd6	negative
035090583b2662a33438faf3b8d7a26127d3f0a1ace5e01f4973a80c040df721	lowconf
5e4eec0dd8c2833b19baf8fe33f989a43810ce90b84b8fe9822b52f86be539fb	negative
1113f26e5ec5da9355f87c30d3e42fc0261585f549e79e49ffe93931caf19345	highconf
23d4b03d77ff7e7588830dc7047ab52e4dfcc3ad5e5ea88e1163d27ce48fdfe6	negative
346f4ccb6dac529b0ffa365337881e124b2cc1cb40f8a90d9ced7d9581326686	negative
eb42772c474813e0e16d6346cb8dc3959183337ce401d40267417138f96c12ee	negative
441c9dafae42655866b1a3e224bb9e6535b8aab3985fd6f97eddf94760d86db4	negative
a8df799da5128083c1cb68dba652c65bb69a0e0b16cb0177adfca070d3c1fa03	negative
70a8da850784d08ecce184d182593bb72d437afb0369d7b50e1b8a44579405ed	negative
1b8bf44728acb6a77844816f2e6f19565f609ced93a3da6686d0dad186a115d3	highconf
027df23e848b495ecfeb1db0905fbf1ec49e9e8f8412ac01bb33000dbdde87b8	negative
40b1ff595e4d393c6426912dec4d7691c38e012ba4112d63ecee8af8391ba41c	negative
6bb4293b7abe8c2fa7bc83b58c96611d3d852965f7be1f3c4016ac2c535fdf84	highconf
b7f069c461598fa21c03937a9921f54433fd47efd400b4ade7543397d2793c2e	negative
a8354d0b694ccd17ca40c8d59fd51c0d1e3354ecaf61eb4b417758705d3cf18c	negative
80d77f6aefdc010db905228b277c7b9836894aff40f3b5308cb6778f89bc725f	negative
3d96ed44a83ff9c91be3c2af372c20762027f0dfb4cd920aa91e52e768707605	negative
fa16e6b9b8775eb7e77a3fe8d202ace9eceb78fe1e46bd74e444b9f02eb1e169	negative
febbbaca0f4039acf3126f75f106df59ae49431c02fce2cd0c915a55acc026dc	negative
a6b55b12ac0888ee6bc633ede2a04aa49df5673a7c81c8a2835926347a55b558	negative
eab9eae9acc17e8b23509c7ef419a1bd3e0b4eebb19f8db4e27f28318ba4a611	lowconf
b42779cb41d16296a5272ed96f4c4db73d898dfd2f928a5e4fa26cbd387b710a	negative
2cfb3bfa7d967234a37a42662d5fe53265df50a3c634c91ba281b50d99fe907e	negative
14dddd9ec64dda4adf7a4296935a05f728d20d25b55c4ad157904fc44121c1b8	lowconf
3af2d09fa313d621e0bda15195e9ad33097382c259e1db09d91f3f068f4c5e72	lowconf
b5f60c42b8215d85e97844d46dfa206643d83c10d7018cc1fcefb3fa3abe54db	negative
bc6e70b142ec7553a4592df1746598fcc1b3d472a53e94a2fec6016057b41e49	negative
bc0a6dd1b07db079b3817db66a1f198b7a3e812456aab6b3a4c2695222abc351	negative
