affy_hg_u133_plus_2,weight
202345_s_at,1.0
1555864_s_at,1.0
204033_at,1.0
206513_at,1.0
1555274_a_at,1.0
211576_s_at,1.0
204016_at,1.0
1565951_s_at,1.0
219918_s_at,1.0
201947_s_at,1.0
213535_s_at,1.0
204092_s_at,1.0
213607_x_at,1.0
208117_s_at,1.0
210334_x_at,1.0
204023_at,1.0
201897_s_at,1.0
216194_s_at,1.0
225834_at,1.0
238952_x_at,1.0
200634_at,1.0
208931_s_at,1.0
206332_s_at,1.0
220789_s_at,1.0
218947_s_at,1.0
213310_at,1.0
224523_s_at,1.0
201231_s_at,1.0
217901_at,1.0
226936_at,1.0
58696_at,1.0
200916_at,1.0
201614_s_at,1.0
200966_x_at,1.0
225082_at,1.0
242488_at,1.0
243011_at,1.0
201105_at,1.0
224200_s_at,1.0
222417_s_at,1.0
210460_s_at,1.0
200750_s_at,1.0
206364_at,1.0
201091_s_at,1.0
203432_at,1.0
221970_s_at,1.0
212533_at,1.0
213194_at,1.0
244686_at,1.0
200638_s_at,1.0
205235_s_at,1.0
201921_at,-1.0
227278_at,-1.0
209740_s_at,-1.0
227547_at,-1.0
225582_at,-1.0
200850_s_at,-1.0
213628_at,-1.0
209717_at,-1.0
222495_at,-1.0
1557277_a_at,-1.0
1554736_at,-1.0
218924_s_at,-1.0
226954_at,-1.0
202838_at,-1.0
230192_at,-1.0
48106_at,-1.0
237964_at,-1.0
202729_s_at,-1.0
212435_at,-1.0